STATEID,COUNTYID,STNAME,CTYNAME,POPN
01,001,Alabama,Autauga ,58877
01,003,Alabama,Baldwin ,233140
01,005,Alabama,Barbour ,25180
01,007,Alabama,Bibb ,22223
01,009,Alabama,Blount ,59081
01,011,Alabama,Bullock ,10309
01,013,Alabama,Butler ,19045
01,015,Alabama,Calhoun ,116266
01,017,Alabama,Chambers ,34678
01,019,Alabama,Cherokee ,24958
01,021,Alabama,Chilton ,45024
01,023,Alabama,Choctaw ,12619
01,025,Alabama,Clarke ,22995
01,027,Alabama,Clay ,14193
01,029,Alabama,Cleburne ,15035
01,031,Alabama,Coffee ,53565
01,033,Alabama,Colbert ,57236
01,035,Alabama,Conecuh ,11552
01,037,Alabama,Coosa ,10383
01,039,Alabama,Covington ,37469
01,041,Alabama,Crenshaw ,13157
01,043,Alabama,Cullman ,88044
01,045,Alabama,Dale ,49214
01,047,Alabama,Dallas ,38190
01,049,Alabama,DeKalb ,71630
01,051,Alabama,Elmore ,88116
01,053,Alabama,Escambia ,36665
01,055,Alabama,Etowah ,103393
01,057,Alabama,Fayette ,16307
01,059,Alabama,Franklin ,32063
01,061,Alabama,Geneva ,26675
01,063,Alabama,Greene ,7704
01,065,Alabama,Hale ,14792
01,067,Alabama,Henry ,17167
01,069,Alabama,Houston ,107190
01,071,Alabama,Jackson ,52519
01,073,Alabama,Jefferson ,673341
01,075,Alabama,Lamar ,13943
01,077,Alabama,Lauderdale ,93610
01,079,Alabama,Lawrence ,33063
01,081,Alabama,Lee ,174601
01,083,Alabama,Limestone ,104322
01,085,Alabama,Lowndes ,10297
01,087,Alabama,Macon ,19476
01,089,Alabama,Madison ,389696
01,091,Alabama,Marengo ,19264
01,093,Alabama,Marion ,29287
01,095,Alabama,Marshall ,97608
01,097,Alabama,Mobile ,414250
01,099,Alabama,Monroe ,19723
01,101,Alabama,Montgomery ,228448
01,103,Alabama,Morgan ,123336
01,105,Alabama,Perry ,8452
01,107,Alabama,Pickens ,19062
01,109,Alabama,Pike ,32981
01,111,Alabama,Randolph ,21971
01,113,Alabama,Russell ,59226
01,115,Alabama,St. Clair ,91333
01,117,Alabama,Shelby ,223708
01,119,Alabama,Sumter ,12295
01,121,Alabama,Talladega ,82069
01,123,Alabama,Tallapoosa ,41229
01,125,Alabama,Tuscaloosa ,227153
01,127,Alabama,Walker ,65100
